name,sector,sub_sector,priority_tier,lean_fit_score,region,country,hq,employees,website_url,linkedin_company_url,careers_url,recommended_functions,rationale,source,source_url,source_profile_url,awesomefintech_categories,awesomefintech_rank,data_sources
ATOM,FinTech,Banking,Tier 2,8,Europe,UK,Durham,101+,,https://www.linkedin.com/search/results/companies/?keywords=ATOM,,"Engineering, Product, Commercial, Partnerships, Risk/Compliance","Atom is the UK’s first bank which doesn’t have its own branch, but runs entirely from an app. Atom will also be the first digital only bank to offer biometric security.",FinTech Weekly directory,https://www.fintechweekly.com/fintech-companies/,https://www.fintechweekly.com/fintech-companies/atom,,,FinTech Weekly directory
Afghan Besim Mobile Money Company,FinTech,Banking,Tier 2,8,Global,Afghanistan,"Kabul, Kandahar, Mazar, Jalal-Abad, Herat",100+,,https://www.linkedin.com/search/results/companies/?keywords=Afghan+Besim+Mobile+Money+Company,,"Engineering, Product, Commercial, Partnerships, Risk/Compliance","Afghan Besim Mobile Money Company (ABMMC) owns and operates a mobile money network in Afghanistan with the brand name “My Money” “زما پیسې”, “پولم”,the network consists of a fully integrated mobile money platform and supporting ecosystem including partners, agents, merchants, and service end users. ABMMC network provides a full range of mobile financial services to the public compliant with Da Afghanistan Bank (DAB) regulations and other applicable laws.

ABMMC is a fully owned subsidiary of Afghan Wireless Communication Company (AWCC), the first mobile services company in Afghanistan. To its credit, AWCC is the only operator in Afghanistan which covers all the provinces in the country with its GSM network with a primary motive of connecting Afghanistan seamlessly.

In 2011 Afghan Wireless Communication Company decided to provide mobile money services to facilitate unbanked population of",FinTech Weekly directory,https://www.fintechweekly.com/fintech-companies/,https://www.fintechweekly.com/fintech-companies/afghan-besim-mobile-money-company,,,FinTech Weekly directory
Alkami Technology,FinTech,Banking,Tier 2,8,Global,,,,,https://www.linkedin.com/search/results/companies/?keywords=Alkami+Technology,,"Engineering, Product, Commercial, Partnerships, Risk/Compliance",AwesomeFinTech public directory signal: Banking #50. Prioritize for Lean talent mapping by category fit and funding/rank signal.,AwesomeFinTech public directory,https://www.awesomefintech.com/category/banking/,,Banking,Banking #50,AwesomeFinTech public directory
Atom Bank,FinTech,Banking,Tier 2,8,Global,,,,,https://www.linkedin.com/search/results/companies/?keywords=Atom+Bank,,"Engineering, Product, Commercial, Partnerships, Risk/Compliance","AwesomeFinTech public directory signal: Top 200 #36, Banking #21, Neobanks #13. Prioritize for Lean talent mapping by category fit and funding/rank signal.",AwesomeFinTech public directory,https://www.awesomefintech.com/category/banking/,,Top 200; Banking; Neobanks,Top 200 #36; Banking #21; Neobanks #13,AwesomeFinTech public directory
Automation Anywhere,FinTech,Banking,Tier 2,8,Global,,,,,https://www.linkedin.com/search/results/companies/?keywords=Automation+Anywhere,,"Engineering, Product, Commercial, Partnerships, Risk/Compliance","AwesomeFinTech public directory signal: Banking #13, AI #7. Prioritize for Lean talent mapping by category fit and funding/rank signal.",AwesomeFinTech public directory,https://www.awesomefintech.com/category/banking/,,Banking; AI,Banking #13; AI #7,AwesomeFinTech public directory
Avoka,FinTech,Banking,Tier 2,8,APAC,Australia,Sydney,,,https://www.linkedin.com/search/results/companies/?keywords=Avoka,,"Engineering, Product, Commercial, Partnerships, Risk/Compliance","Avoka software delivers frictionless digital sales and service transactions for financial institutions, government agencies, and many other industries where traditional “shopping cart” e-Commerce is not a good fit. For information intensive transactions such as loan applications, account openings, enrollment forms and insurance claims, Avoka creates a digital, mobile responsive experience that can be deployed in weeks, rather than the months of development required by traditional IT projects.",FinTech Weekly directory,https://www.fintechweekly.com/fintech-companies/,https://www.fintechweekly.com/fintech-companies/avoka,,,FinTech Weekly directory
BANCALIS GMBH,FinTech,Banking,Tier 2,8,Europe,Germany,Frankfurt,1 to 10,,https://www.linkedin.com/search/results/companies/?keywords=BANCALIS+GMBH,,"Engineering, Product, Commercial, Partnerships, Risk/Compliance","BANCALIS provides a cognitive, selflearning system that automatically analyses the impact of new regulations on banks.",FinTech Weekly directory,https://www.fintechweekly.com/fintech-companies/,https://www.fintechweekly.com/fintech-companies/bancalis-gmbh,,,FinTech Weekly directory
BANKLESS24,FinTech,Banking,Tier 2,8,Europe,Germany,Weiterstadt,1 to 10,,https://www.linkedin.com/search/results/companies/?keywords=BANKLESS24,,"Engineering, Product, Commercial, Partnerships, Risk/Compliance",Bankless24 is a crowdfunding platform focussing exclusively on German SMEs. Investors can start investing from amounts as small as €100.,FinTech Weekly directory,https://www.fintechweekly.com/fintech-companies/,https://www.fintechweekly.com/fintech-companies/bankless24,,,FinTech Weekly directory
BANKTOTHEFUTURE,FinTech,Banking,Tier 2,8,Europe,UK,London,11 to 20,,https://www.linkedin.com/search/results/companies/?keywords=BANKTOTHEFUTURE,,"Engineering, Product, Commercial, Partnerships, Risk/Compliance",BankToTheFuture is a global online investment platform that brings financial innovation & technology investment opportunities to investors.,FinTech Weekly directory,https://www.fintechweekly.com/fintech-companies/,https://www.fintechweekly.com/fintech-companies/banktothefuture,,,FinTech Weekly directory
Be the Bank,FinTech,Banking,Tier 2,8,MENA,Israel,,,,https://www.linkedin.com/search/results/companies/?keywords=Be+the+Bank,,"Engineering, Product, Commercial, Partnerships, Risk/Compliance","Be the Bank is a crowd-lending platform that lets lenders earn 5%-10% annually while supporting the growth of Israel's small- medium-sized businesses. Be the Bank lenders are private individuals or businesses who provide a miniumum of 500 NIS, which is automatically distributed among various small- to medium- sized businesses that have gone through a selection process. Borrowers can receive up to 500,000 NIS for three to five years.",FinTech Weekly directory,https://www.fintechweekly.com/fintech-companies/,https://www.fintechweekly.com/fintech-companies/be-the-bank,,,FinTech Weekly directory
BeeEye,FinTech,Banking,Tier 2,8,MENA,Israel,,,,https://www.linkedin.com/search/results/companies/?keywords=BeeEye,,"Engineering, Product, Commercial, Partnerships, Risk/Compliance","BeeEye is a market leader in translating consumers’ online web data into decision-grade financial indicators and prediction models. The company uses its advanced big-data and machine-learning models and extensive financial expertise to assist both traditional financial institutions and Fintech companies. BeeEye’s proprietary engine combines new external data with banks’ internal financial data, using machine-learning methods to deliver improved risk and marketing-prediction models.",FinTech Weekly directory,https://www.fintechweekly.com/fintech-companies/,https://www.fintechweekly.com/fintech-companies/beeeye,,,FinTech Weekly directory
Bento,FinTech,Banking,Tier 2,8,APAC,Singapore,Singapore,15,,https://www.linkedin.com/search/results/companies/?keywords=Bento,,"Engineering, Product, Commercial, Partnerships, Risk/Compliance","Bento is a Singapore-based B2B2C SAAS digital wealth solutions provider. We have been recognized by CB Insights in their global 90 WealthTech companies and Top 6 B2B robo advisors that are making a difference. Bento has been live since October 2016.  

The platform is built for banks, asset managers, insurers and brokers to launch digital wealth solutions with low capex and quick time to market. Wealth and asset management contributes the largest P&L component for most banks and Bento provides SaaS in this existing and fast growing segment with a profit pool of over US$300billion.

The white-labelled modular solution includes client onboarding, portfolio construction, risk management, portfolio review and client reporting. 
The tools can be deployed as an enabler for financial advisors and as DIY options for direct client engagement. 
The reporting tool allows for systematic and regular ",FinTech Weekly directory,https://www.fintechweekly.com/fintech-companies/,https://www.fintechweekly.com/fintech-companies/bento,,,FinTech Weekly directory
Bits of Gold,FinTech,Banking,Tier 2,8,MENA,Israel,,,,https://www.linkedin.com/search/results/companies/?keywords=Bits+of+Gold,,"Engineering, Product, Commercial, Partnerships, Risk/Compliance","Bits of Gold operates the largest Bitcoin service in Israel. The company is working to make Bitcoin accessible to emerging markets in traditional banking and financial institutions with a focus on security, ease of use, and adherence to regulation.",FinTech Weekly directory,https://www.fintechweekly.com/fintech-companies/,https://www.fintechweekly.com/fintech-companies/bits-of-gold,,,FinTech Weekly directory
Blend,FinTech,Banking,Tier 2,8,Global,,,,,https://www.linkedin.com/search/results/companies/?keywords=Blend,,"Engineering, Product, Commercial, Partnerships, Risk/Compliance","AwesomeFinTech public directory signal: Top 200 #32, Banking #18, Digital Lending #32. Prioritize for Lean talent mapping by category fit and funding/rank signal.",AwesomeFinTech public directory,https://www.awesomefintech.com/category/banking/,,Top 200; Banking; Digital Lending,Top 200 #32; Banking #18; Digital Lending #32,AwesomeFinTech public directory
C6 Bank,FinTech,Banking,Tier 2,8,Global,,,,,https://www.linkedin.com/search/results/companies/?keywords=C6+Bank,,"Engineering, Product, Commercial, Partnerships, Risk/Compliance","AwesomeFinTech public directory signal: Banking #3, Neobanks #4. Prioritize for Lean talent mapping by category fit and funding/rank signal.",AwesomeFinTech public directory,https://www.awesomefintech.com/category/banking/,,Banking; Neobanks,Banking #3; Neobanks #4,AwesomeFinTech public directory
CASHBOARD,FinTech,Banking,Tier 2,8,Europe,Germany,Berlin,11 to 20,,https://www.linkedin.com/search/results/companies/?keywords=CASHBOARD,,"Engineering, Product, Commercial, Partnerships, Risk/Compliance","Cashboard is a web-platform that enables retail clients to invest into all products, from all providers and banks with one intelligent account.",FinTech Weekly directory,https://www.fintechweekly.com/fintech-companies/,https://www.fintechweekly.com/fintech-companies/cashboard,,,FinTech Weekly directory
CENTRALWAY NUMBRS,FinTech,Banking,Tier 2,8,Europe,Switzerland,Zurich,51 to 100,,https://www.linkedin.com/search/results/companies/?keywords=CENTRALWAY+NUMBRS,,"Engineering, Product, Commercial, Partnerships, Risk/Compliance",Centralway is a mobile banking platform that focuses on developing products to manage banking transactions and assets.,FinTech Weekly directory,https://www.fintechweekly.com/fintech-companies/,https://www.fintechweekly.com/fintech-companies/centralway-numbrs,,,FinTech Weekly directory
CHARITY BANK,FinTech,Banking,Tier 2,8,Europe,UK,Tonbrigde,51 to 100,,https://www.linkedin.com/search/results/companies/?keywords=CHARITY+BANK,,"Engineering, Product, Commercial, Partnerships, Risk/Compliance","Charity Bank is a savings & loans bank with a mission to use savers money to make loans to organisations with charitable purposes. Charity bank is entirely owned by charitable foundations, trusts & social purpose organisations.",FinTech Weekly directory,https://www.fintechweekly.com/fintech-companies/,https://www.fintechweekly.com/fintech-companies/charity-bank,,,FinTech Weekly directory
CLEARSCORE,FinTech,Banking,Tier 2,8,Europe,UK,London,21 to 50,,https://www.linkedin.com/search/results/companies/?keywords=CLEARSCORE,,"Engineering, Product, Commercial, Partnerships, Risk/Compliance","Partnering with Equifax, ClearScore, an award-winning UK-based business, uses information provided by banks, mobile phone companies & utility companies to create credit reports & credit scores.",FinTech Weekly directory,https://www.fintechweekly.com/fintech-companies/,https://www.fintechweekly.com/fintech-companies/clearscore,,,FinTech Weekly directory
CREDIT BENCHMARK,FinTech,Banking,Tier 2,8,Europe,UK,London,21 to 50,,https://www.linkedin.com/search/results/companies/?keywords=CREDIT+BENCHMARK,,"Engineering, Product, Commercial, Partnerships, Risk/Compliance","Credit Benchmark, a financial data analytics company, pools credit risk estimates from the world’s biggest banks & financial institutions: global, regional and national - to create consensus credit views.",FinTech Weekly directory,https://www.fintechweekly.com/fintech-companies/,https://www.fintechweekly.com/fintech-companies/credit-benchmark,,,FinTech Weekly directory
CROWD2FUND,FinTech,Banking,Tier 2,8,Europe,UK,London,11 to 20,,https://www.linkedin.com/search/results/companies/?keywords=CROWD2FUND,,"Engineering, Product, Commercial, Partnerships, Risk/Compliance",Crowd2Fund is an alternative solution to an out-of-date financial system that links investors with business opportunities automatically via their platform without the need for a bank or intermediary.,FinTech Weekly directory,https://www.fintechweekly.com/fintech-companies/,https://www.fintechweekly.com/fintech-companies/crowd2fund,,,FinTech Weekly directory
CRYPTAURA,FinTech,Banking,Tier 2,8,Europe,UK,London,1 to 10,,https://www.linkedin.com/search/results/companies/?keywords=CRYPTAURA,,"Engineering, Product, Commercial, Partnerships, Risk/Compliance",Cryptaura is a digital banking company that provides customers with a safe & secure way to save money.,FinTech Weekly directory,https://www.fintechweekly.com/fintech-companies/,https://www.fintechweekly.com/fintech-companies/cryptaura,,,FinTech Weekly directory
CTB Banking Systems,FinTech,Banking,Tier 2,8,MENA,Israel,,,,https://www.linkedin.com/search/results/companies/?keywords=CTB+Banking+Systems,,"Engineering, Product, Commercial, Partnerships, Risk/Compliance",CTB Banking Systems Ltd provides electronic banking and trade services for ecommerce. The company's S.T.A.R.S. software package enables banking applications to receive and process S.W.I.F.T. and Telex messages in a fully automated manner. Its TRAFIC product family provides banking clients with a multi-banking application from which the customer can communicate with several banks with which he has accounts.,FinTech Weekly directory,https://www.fintechweekly.com/fintech-companies/,https://www.fintechweekly.com/fintech-companies/ctb-banking-systems,,,FinTech Weekly directory
CashControl,FinTech,Banking,Tier 2,8,MENA,Israel,,,,https://www.linkedin.com/search/results/companies/?keywords=CashControl,,"Engineering, Product, Commercial, Partnerships, Risk/Compliance","CashControl offers a secure, cloud-based cash-flow management platform designed to enable businesses to accurately predict and manage their bank balances in less than five minutes a day. Its SaaS model can be monetized through the distribution of advanced services. CashControl’s current beta version is currently used by more than 100 businesses in Israel.",FinTech Weekly directory,https://www.fintechweekly.com/fintech-companies/,https://www.fintechweekly.com/fintech-companies/cashcontrol,,,FinTech Weekly directory
Cellarix,FinTech,Banking,Tier 2,8,MENA,Israel,,,,https://www.linkedin.com/search/results/companies/?keywords=Cellarix,,"Engineering, Product, Commercial, Partnerships, Risk/Compliance","Cellarix is a 24/7 secure financial service accessible by either mobile or web that can be used for business to business, consumer to consumer, and consumer to business transactions.  The system essentially turns the subscriber's mobile phone into a wallet in which the user can deposit and withdraw cash from his or her account via multiple cash stations or send and receive money to/from his or her credit card or bank account. The easy-to-install and use service utilizes the subscriber's phone number as the account number and does not depend on the type of mobile device, mobile operator, particular bank, or type of credit card held by the user.",FinTech Weekly directory,https://www.fintechweekly.com/fintech-companies/,https://www.fintechweekly.com/fintech-companies/cellarix,,,FinTech Weekly directory
Chainalysis,FinTech,Banking,Tier 2,8,Global,,,,,https://www.linkedin.com/search/results/companies/?keywords=Chainalysis,,"Engineering, Product, Commercial, Partnerships, Risk/Compliance","AwesomeFinTech public directory signal: Banking #46, RegTech #7. Prioritize for Lean talent mapping by category fit and funding/rank signal.",AwesomeFinTech public directory,https://www.awesomefintech.com/category/banking/,,Banking; RegTech,Banking #46; RegTech #7,AwesomeFinTech public directory
Cinnober Financial Technology,FinTech,Banking,Tier 2,8,Europe,Sweden,Stockholm,,,https://www.linkedin.com/search/results/companies/?keywords=Cinnober+Financial+Technology,,"Engineering, Product, Commercial, Partnerships, Risk/Compliance","Cinnober Financial Technology is a world-leading and independent supplier of trading and clearing technology. They serve market operators, clearinghouses, banks and brokers. Cinnober’s solutions are all based on the TRADExpress Platform. The portfolio of offerings includes price discovery and matching, real-time risk management, clearing and settlement, index calculation, data distribution and surveillance. Except for being adopted by leading market players, the system has also been chosen by the European Commission to develop a real-time risk margining and multi-asset client clearing system for banks.",FinTech Weekly directory,https://www.fintechweekly.com/fintech-companies/,https://www.fintechweekly.com/fintech-companies/cinnober-financial-technology,,,FinTech Weekly directory
City Core Limited,FinTech,Banking,Tier 2,8,Africa,Nigeria,"Port Harcourt, Nigeria",12,,https://www.linkedin.com/search/results/companies/?keywords=City+Core+Limited,,"Engineering, Product, Commercial, Partnerships, Risk/Compliance","Citycore offers simple alternative to Savings, Loans and Investment. We make it easy for the underbankex to access financial services",FinTech Weekly directory,https://www.fintechweekly.com/fintech-companies/,https://www.fintechweekly.com/fintech-companies/city-core-limited,,,FinTech Weekly directory
ClauseMatch,FinTech,Banking,Tier 2,8,Europe,UK,London,18,,https://www.linkedin.com/search/results/companies/?keywords=ClauseMatch,,"Engineering, Product, Commercial, Partnerships, Risk/Compliance","ClauseMatch is an award-winning London-based financial technology company that provides software-as-a-service platform for smart document management. ClauseMatch brings an unprecedented productivity for Compliance, Legal, Finance, Operations and Risk teams saving millions in terms of time and resources, while significantly reducing risk and providing accountability. 

It works as a browser-based collaborative document editor containing in its core a detailed workflow, where comments, approvals and changes are a part of a full audit trail, providing full control of content. Every change and approval made in a document is tracked in an organised manner providing full audit trail and unprecedented reporting capabilities.",FinTech Weekly directory,https://www.fintechweekly.com/fintech-companies/,https://www.fintechweekly.com/fintech-companies/clausematch,,,FinTech Weekly directory
Consectus Ltd,FinTech,Banking,Tier 2,8,Europe,UK,Maindenhead & Mumbai,16,,https://www.linkedin.com/search/results/companies/?keywords=Consectus+Ltd,,"Engineering, Product, Commercial, Partnerships, Risk/Compliance","Consectus provides Channel Solutions for Banking platforms including a Mobile App, Online access and AI Telephony.",FinTech Weekly directory,https://www.fintechweekly.com/fintech-companies/,https://www.fintechweekly.com/fintech-companies/consectus-ltd,,,FinTech Weekly directory
Conta Um,FinTech,Banking,Tier 2,8,LatAm,Brazil,"Sao Paulo ,Salvador and Rio de Janeiro",30,,https://www.linkedin.com/search/results/companies/?keywords=Conta+Um,,"Engineering, Product, Commercial, Partnerships, Risk/Compliance","Conta Um was born from the partnership of a group of investors, to offer Brazilians an alternative to those who for any reason do not (or can not) wish to have an account with a bank. The Conta Um card was created to be a channel of social, financial, relationship and business inclusion.
Conta Um believes that there is no better way to handle your money than with full control over your spending.",FinTech Weekly directory,https://www.fintechweekly.com/fintech-companies/,https://www.fintechweekly.com/fintech-companies/conta-um,,,FinTech Weekly directory
Contovista AG,FinTech,Banking,Tier 2,8,Europe,Switzerland,Zurich,25,,https://www.linkedin.com/search/results/companies/?keywords=Contovista+AG,,"Engineering, Product, Commercial, Partnerships, Risk/Compliance","The Swiss Contovista AG specialises in analysis, enrichment, and visualisation of financial data. For the financial services industry, Contovista opens up business opportunities in the areas of Personal Finance Management (PFM), Business Finance Management (BFM), and Data Analytics. The company develops innovative technologies and algorithms for analysis of large volumes of unstructured data, leveraging machine learning methodologies. Financial institutions can easily integrate Contovista modules into existing online and mobile banking applications to better serve their customers across all channels.",FinTech Weekly directory,https://www.fintechweekly.com/fintech-companies/,https://www.fintechweekly.com/fintech-companies/contovista-ag,,,FinTech Weekly directory
CoverGo,FinTech,Banking,Tier 2,8,APAC,Hong Kong,Hong Kong,20,,https://www.linkedin.com/search/results/companies/?keywords=CoverGo,,"Engineering, Product, Commercial, Partnerships, Risk/Compliance","CoverGo is an award-winning insurance technology company providing enterprise software solutions to insurers, banks and brokers in Asia and beyond. 

CoverGo is the first fully configurable, whitelabel, modular, no-code insurance platform for omni-channel distribution, policy admin and claims. It is an end-to-end solution including dynamic pricing and underwriting engine, core admin system, insurance roboadvisor, analytics and whitelabel frontend for all lines of insurance.",FinTech Weekly directory,https://www.fintechweekly.com/fintech-companies/,https://www.fintechweekly.com/fintech-companies/covergo,,,FinTech Weekly directory
Covercy,FinTech,Banking,Tier 2,8,MENA,Israel,,,,https://www.linkedin.com/search/results/companies/?keywords=Covercy,,"Engineering, Product, Commercial, Partnerships, Risk/Compliance","Covercy provides online foreign-exchange solutions, acting as a marketplace where users exchange currency with each other. When there is no exact match, the company completes the transaction by dealing directly with the FX market, lowering costs. Covercy provides full control over online money transfers and allows users to track their past, present, and future activities while avoiding additional service fees through banks and brokers. Primary advantages to Covercy include price transparency, the lowest fee available, online portfolio management, and an easy and quick online interface.",FinTech Weekly directory,https://www.fintechweekly.com/fintech-companies/,https://www.fintechweekly.com/fintech-companies/covercy,,,FinTech Weekly directory
CreditStacks,FinTech,Banking,Tier 2,8,MENA,Israel,,,,https://www.linkedin.com/search/results/companies/?keywords=CreditStacks,,"Engineering, Product, Commercial, Partnerships, Risk/Compliance","CreditStacks issues the Imagine Card, a prime-grade credit card for so-called pre-prime customers—individuals with no credit history in the United States—to identify those with strong financial potential. The company uses deep banking partnerships, alternative data sources, innovative data crunching, and advanced risk and behavioral analysis models to detect prime customers, and issues them a superior and fair credit card that recognizes their international financial standing.",FinTech Weekly directory,https://www.fintechweekly.com/fintech-companies/,https://www.fintechweekly.com/fintech-companies/creditstacks,,,FinTech Weekly directory
Credithood,FinTech,Banking,Tier 2,8,MENA,Israel,Tel Aviv,,,https://www.linkedin.com/search/results/companies/?keywords=Credithood,,"Engineering, Product, Commercial, Partnerships, Risk/Compliance","Credithood solves the biggest SMB problem - raising funds for growth. Through our platform, SMB raise funds from its repeat customer base in return for a discount on goods/services purchased during the term of the loan. Amount lent and not used for goods or services during the term of the loan, is repaid in cash at the end of the term. There is no paper work, no credit score, no external creditworthiness evaluation of the SMB. The whole transaction is based on the reputation of the SMB as perceived by its customer. They leverage the vote of confidence SMB received from its customers by collaborating with financial institutions like banks to top-up the amount raised from the customers by data-mining all the information gathered on SMB to create a new factor for its credit evaluation - ""the Reputation Score"" where the process is very easy and intuitive.",FinTech Weekly directory,https://www.fintechweekly.com/fintech-companies/,https://www.fintechweekly.com/fintech-companies/credithood,,,FinTech Weekly directory
DANSK FAKTURA BØRS,FinTech,Banking,Tier 2,8,Europe,Denmark,Copenhagen,1 to 10,,https://www.linkedin.com/search/results/companies/?keywords=DANSK+FAKTURA+B%C3%98RS,,"Engineering, Product, Commercial, Partnerships, Risk/Compliance","Dansk Faktura Børs is an electronic marketplace for invoices where companies can access liquidity when they need it, bypassing the banks, on their own terms.",FinTech Weekly directory,https://www.fintechweekly.com/fintech-companies/,https://www.fintechweekly.com/fintech-companies/dansk-faktura-b-rs,,,FinTech Weekly directory
DataRobot,FinTech,Banking,Tier 2,8,Global,,,,,https://www.linkedin.com/search/results/companies/?keywords=DataRobot,,"Engineering, Product, Commercial, Partnerships, Risk/Compliance","AwesomeFinTech public directory signal: Banking #9, RegTech #1, AI #4. Prioritize for Lean talent mapping by category fit and funding/rank signal.",AwesomeFinTech public directory,https://www.awesomefintech.com/category/banking/,,Banking; RegTech; AI,Banking #9; RegTech #1; AI #4,AwesomeFinTech public directory
Dion Global Solutions Ltd,FinTech,Banking,Tier 2,8,Global,"India, UK, Canada, Singapore, HongKong, Malaysia",Noida,400,,https://www.linkedin.com/search/results/companies/?keywords=Dion+Global+Solutions+Ltd,,"Engineering, Product, Commercial, Partnerships, Risk/Compliance","Dion Global Solutions is a leading technology solution provider, partnering with global banking and financial institutions to optimise the processing of business operations and transform their customer experience. With over three decades of experience in building creative software solutions for wealth management; post trade processing; FATCA, CRS and other tax compliances; mutual fund distribution and governance, risk and compliance, we understand the needs of our customers and build customised solutions to address their specific requirements.

Dion Global’s integrated front to back office software solutions are designed to meet the specific needs of investment banking, retail and commercial banking, institutional trading and private client wealth management and stockbroking. With presence in 12 cities across 8 countries, we have grown into a leading global financial technology solutions",FinTech Weekly directory,https://www.fintechweekly.com/fintech-companies/,https://www.fintechweekly.com/fintech-companies/dion-global-solutions-ltd,,,FinTech Weekly directory
E+S Kassensysteme,FinTech,Banking,Tier 2,8,Europe,Germany,1,7,,https://www.linkedin.com/search/results/companies/?keywords=E%2BS+Kassensysteme,,"Engineering, Product, Commercial, Partnerships, Risk/Compliance","E & S Kassensysteme Inh. Dipl. Ing. R. Stammerjohann ist Hersteller von Kassensysteme / Kassensoftware für den Handel, die Gastronomie und Eintrittskartenverkauf. Seit mehr als 15 Jahren entwickelt das Unternehmen für verschiedene Branchen Kassensysteme. Dabei liegt ein Fokus auf die leichte Bedienbarkeit und die einfache Installation der Anwendungen. Der direkte Kontakt zu den Kunden hat zu ständigen Verbesserungen an die Erfordernisse der Kunden geführt.

E+S Kassensysteme entwickelt stationäre und mobile Kassensoftware. Die Kassenprogramme sind für 32bit und 64bit Systeme ausgelegt und mit einer SQL Datenbank versehen. Die Touch-Kassensoftware ist geeignet für PC, Laptop, Tablet, Handy und Orderman Systeme.

E & S Kassensysteme Inh. Dipl. Ing. R. Stammerjohann is a manufacturer of cash register systems / POS software for the retail trade, gastronomy and ticket sales. For more than 15 ",FinTech Weekly directory,https://www.fintechweekly.com/fintech-companies/,https://www.fintechweekly.com/fintech-companies/e-s-kassensysteme,,,FinTech Weekly directory
ENCAP SECURITY,FinTech,Banking,Tier 2,8,Europe,Norway,Oslo,11 to 20,,https://www.linkedin.com/search/results/companies/?keywords=ENCAP+SECURITY,,"Engineering, Product, Commercial, Partnerships, Risk/Compliance","Encap Security provides simple software-based, two-factor authentication & digital signing for the enterprise and banking sectors.",FinTech Weekly directory,https://www.fintechweekly.com/fintech-companies/,https://www.fintechweekly.com/fintech-companies/encap-security,,,FinTech Weekly directory
EXPERSOFT SYSTEMS,FinTech,Banking,Tier 2,8,Europe,Switzerland,Zug,200,,https://www.linkedin.com/search/results/companies/?keywords=EXPERSOFT+SYSTEMS,,"Engineering, Product, Commercial, Partnerships, Risk/Compliance","Expersoft Systems provides leading-edge intelligent digital solutions and services for wealth management and retail banks, asset management companies, family offices, insurance companies and other financial service providers.",FinTech Weekly directory,https://www.fintechweekly.com/fintech-companies/,https://www.fintechweekly.com/fintech-companies/expersoft-systems,,,FinTech Weekly directory
Eltropy,FinTech,Banking,Tier 2,8,North America,United States,Milpitas,19,,https://www.linkedin.com/search/results/companies/?keywords=Eltropy,,"Engineering, Product, Commercial, Partnerships, Risk/Compliance","Eltropy’s client engagement platform increases share of wallet, new client acquisition and productivity of client-facing teams at banks, wealth, insurance and financial services firms.",FinTech Weekly directory,https://www.fintechweekly.com/fintech-companies/,https://www.fintechweekly.com/fintech-companies/eltropy,,,FinTech Weekly directory
Ettorney,FinTech,Banking,Tier 2,8,MENA,Israel,Tel Aviv,10,,https://www.linkedin.com/search/results/companies/?keywords=Ettorney,,"Engineering, Product, Commercial, Partnerships, Risk/Compliance","Ettorney is the leading platform for online financial & legal services in Israel.

As one of startup nation's Legal Tech pioneers, the company's mission is to make legal services accessible by creating a quick & simple experience that is both transparent and affordable.

We offer a variety of online services with the click of a button and fixed prices for startup entrepreneurs, small business, individuals and families such as: company incorporation, bank account and tax file opening, trade mark registration, wills and inheritance registration, company dissolution and much more.",FinTech Weekly directory,https://www.fintechweekly.com/fintech-companies/,https://www.fintechweekly.com/fintech-companies/ettorney,,,FinTech Weekly directory
Exegy Inc.,FinTech,Banking,Tier 2,8,North America,United States,Saint Louis,131,,https://www.linkedin.com/search/results/companies/?keywords=Exegy+Inc.,,"Engineering, Product, Commercial, Partnerships, Risk/Compliance","Exegy provides best-of-breed technology and managed services for real-time market data and trading access to a diverse set of elite firms in the financial services industry. Today, Exegy has expanded its market data offerings to historical on-demand recordings, real-time data feeds, and AI trading signals to further serve the industry’s needs for analytics, best execution, and trading strategy.  Exegy serves as a strategic partner to leading exchanges, market makers, sell-side banks, buy-side asset managers, and proprietary traders. At the heart of Exegy’s product line are purpose-built, hardware-accelerated appliances derived from an extensive portfolio of patented and patent-pending technology.  Exegy promotes the design of robust electronic markets through its MarketDataPeaks service that reports real-time market data feed rates.",FinTech Weekly directory,https://www.fintechweekly.com/fintech-companies/,https://www.fintechweekly.com/fintech-companies/exegy-inc,,,FinTech Weekly directory
FIGO GMBH,FinTech,Banking,Tier 2,8,Europe,Germany,Hamburg,11 to 20,,https://www.linkedin.com/search/results/companies/?keywords=FIGO+GMBH,,"Engineering, Product, Commercial, Partnerships, Risk/Compliance","Figo aggregates financial sources from over 3,100 banks and financial institutions to enable innovative services.",FinTech Weekly directory,https://www.fintechweekly.com/fintech-companies/,https://www.fintechweekly.com/fintech-companies/figo-gmbh,,,FinTech Weekly directory
FINMATEX,FinTech,Banking,Tier 2,8,North America,United States,Alexandria,7,,https://www.linkedin.com/search/results/companies/?keywords=FINMATEX,,"Engineering, Product, Commercial, Partnerships, Risk/Compliance","FINMATEX is a fintech platform with a chatbot that meets the needs of individuals in the field of personal finance and investment.

The platform consists of:
an administrative application where all the platform processes are managed,
a client’s area where the financial company enters personal information and its products and controls the user activities,
a specialized financial chatbot designer, where banks can create own unique bot,
and the main chatbot, that communicates with users and, based on their queries and requests, identifies needs to provide with necessary and relevant information or redirects them to the financial companies resources.

FINMATEX brings together information providers, financial companies, artificial intelligence, and users while creating a new communication format.",FinTech Weekly directory,https://www.fintechweekly.com/fintech-companies/,https://www.fintechweekly.com/fintech-companies/finmatex,,,FinTech Weekly directory
